"","Number","Name","Country","Region","Type","Activity.Evidence","Last.Known.Eruption","Latitude","Longitude","Elevation..Meters.","Dominant.Rock.Type","Tectonic.Setting","year","yearCE","last_time_eruption"
"40",214060,"Aragats","Armenia","Mediterranean and Western Asia","Stratovolcano","Evidence Credible","Unknown",40.53,44.2,4095,"Andesite / Basaltic Andesite","Intraplate / Continental Crust (>25 km)","Unknown","Unknown",NA
"41",214070,"Ghegam Ridge","Armenia","Mediterranean and Western Asia","Volcanic field","Eruption Dated","1900 BCE",40.275,44.75,3597,"Andesite / Basaltic Andesite","Intraplate / Continental Crust (>25 km)","1900","BCE",-1900
"42",214080,"Dar-Alages","Armenia","Mediterranean and Western Asia","Volcanic field(s)","Eruption Dated","2000 BCE",39.704,45.551,1637,"Andesite / Basaltic Andesite","Intraplate / Continental Crust (>25 km)","2000","BCE",-2000
"43",214090,"Porak","Armenia-Azerbaijan","Mediterranean and Western Asia","Stratovolcano","Eruption Dated","778 BCE",40.028,45.74,3029,"Andesite / Basaltic Andesite","Intraplate / Continental Crust (>25 km)","778","BCE",-778
"44",214100,"Tskhouk-Karckar","Armenia-Azerbaijan","Mediterranean and Western Asia","Pyroclastic cone(s)","Eruption Dated","3000 BCE",39.73,46.02,3000,"Andesite / Basaltic Andesite","Intraplate / Continental Crust (>25 km)","3000","BCE",-3000
"45",221010,"Tair, Jebel at","Yemen","Africa and Red Sea","Stratovolcano","Eruption Observed","2008 CE",15.55,41.83,244,"Trachybasalt / Tephrite Basanite","Rift Zone / Oceanic Crust (< 15 km)","2008","CE",2008
"46",221020,"Zubair Group","Yemen","Africa and Red Sea","Shield","Eruption Observed","2013 CE",15.05,42.18,191,"Basalt / Picro-Basalt","Rift Zone / Oceanic Crust (< 15 km)","2013","CE",2013
"47",221021,"Zukur","Yemen","Africa and Red Sea","Shield","Evidence Credible","Unknown",14.02,42.75,624,"Basalt / Picro-Basalt","Rift Zone / Oceanic Crust (< 15 km)","Unknown","Unknown",NA
"48",221022,"Hanish","Yemen","Africa and Red Sea","Shield","Evidence Credible","Unknown",13.72,42.73,422,"Basalt / Picro-Basalt","Rift Zone / Oceanic Crust (< 15 km)","Unknown","Unknown",NA
"49",221030,"Jalua","Eritrea","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",15.042,39.82,713,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"50",221040,"Alid","Eritrea","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",14.88,39.92,904,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"51",221041,"Dallol","Ethiopia","Africa and Red Sea","Explosion crater(s)","Eruption Observed","2011 CE",14.242,40.3,-48,"No Data","Rift Zone / Intermediate Crust (15-25 km)","2011","CE",2011
"52",221050,"Gada Ale","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",13.975,40.408,287,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"53",221060,"Alu-Dalafilla","Ethiopia","Africa and Red Sea","Fissure vent(s)","Eruption Observed","2008 CE",13.793,40.553,578,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","2008","CE",2008
"54",221071,"Bora Ale","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",13.725,40.6,668,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"55",221080,"Erta Ale","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","2016 CE",13.6,40.67,613,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","2016","CE",2016
"56",221090,"Ale Bagu","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",13.52,40.63,1031,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"57",221091,"Hayli Gubbi","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown",13.5,40.72,521,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"58",221100,"Dubbi","Eritrea","Africa and Red Sea","Stratovolcano","Eruption Observed","1861 CE",13.579,41.809,1625,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","1861","CE",1861
"59",221101,"Nabro","Eritrea","Africa and Red Sea","Stratovolcano","Eruption Observed","2012 CE",13.37,41.7,2218,"Trachyte / Trachydacite","Rift Zone / Intermediate Crust (15-25 km)","2012","CE",2012
"60",221102,"Mallahle","Ethiopia-Eritrea","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown",13.27,41.65,1875,"Trachyte / Trachydacite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"61",221103,"Sork Ale","Ethiopia-Eritrea","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown",13.18,41.725,1611,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"62",221104,"Asavyo","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown",13.098,41.599,1338,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"63",221105,"Mat Ala","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown",13.106,41.161,493,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"64",221106,"Tat Ali","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown",13.284,41.063,655,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"65",221107,"Borawli","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",13.304,40.987,784,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"66",221110,"Afdera","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown",13.088,40.853,1250,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"67",221111,"Ma Alalta","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",13.013,40.185,1745,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"68",221112,"Alayta","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","1915 CE",12.888,40.573,1496,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","1915","CE",1915
"69",221113,"Dabbahu","Ethiopia","Africa and Red Sea","Stratovolcano","Eruption Observed","2005 CE",12.595,40.48,1401,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","2005","CE",2005
"70",221114,"Dabbayra","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown",12.38,40.07,1302,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"71",221115,"Manda Hararo","Ethiopia","Africa and Red Sea","Shield(s)","Eruption Observed","2009 CE",12.17,40.82,600,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","2009","CE",2009
"72",221116,"Groppo","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",11.73,40.25,930,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"73",221120,"Kurub","Ethiopia","Africa and Red Sea","Shield","Evidence Credible","Unknown",11.88,41.208,625,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"74",221121,"Borawli","Ethiopia","Africa and Red Sea","Lava dome(s)","Evidence Credible","Unknown",11.63,41.45,875,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"75",221122,"Manda-Inakir","Ethiopia-Djibouti","Africa and Red Sea","Fissure vent(s)","Eruption Observed","1928 CE",12.38,42.2,600,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","1928","CE",1928
"76",221123,"Mousa Alli","Ethiopia-Eritrea-Djibouti","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",12.47,42.4,2028,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"77",221124,"Gufa","Eritrea-Djibouti","Africa and Red Sea","Volcanic field","Evidence Credible","Unknown",12.55,42.53,600,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"78",221125,"Assab Volcanic Field","Eritrea","Africa and Red Sea","Volcanic field","Evidence Credible","Unknown",12.95,42.43,987,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"79",221126,"Ardoukoba","Djibouti","Africa and Red Sea","Fissure vent(s)","Eruption Observed","1978 CE",11.58,42.47,298,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","1978","CE",1978
"80",221127,"Manda Gargori","Ethiopia","Africa and Red Sea","Fissure vent(s)","Evidence Credible","Unknown",11.75,41.48,0,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"81",221141,"Dama Ali","Ethiopia","Africa and Red Sea","Shield","Eruption Observed","1631 CE",11.28,41.63,1068,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","1631","CE",1631
"82",221150,"Gabillema","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",11.08,41.27,1459,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"83",221151,"Yangudi","Ethiopia","Africa and Red Sea","Complex","Evidence Credible","Unknown",10.58,41.042,1383,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"84",221160,"Ayelu","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",10.082,40.702,2145,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"85",221170,"Adwa","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",10.07,40.84,1733,"Rhyolite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"86",221171,"Hertali","Ethiopia","Africa and Red Sea","Fissure vent","Evidence Credible","Unknown",9.78,40.33,900,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"87",221172,"Liado Hayk","Ethiopia","Africa and Red Sea","Maar(s)","Evidence Uncertain","Unknown",9.57,40.28,878,"No Data","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"88",221180,"Dofan","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Credible","Unknown",9.35,40.13,1151,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"89",221190,"Fentale","Ethiopia","Africa and Red Sea","Stratovolcano","Eruption Observed","1820 CE",8.975,39.93,2007,"Rhyolite","Rift Zone / Continental Crust (>25 km)","1820","CE",1820
"90",221191,"Beru","Ethiopia","Africa and Red Sea","Volcanic field","Evidence Credible","Unknown",8.95,39.75,1100,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"91",221200,"Kone","Ethiopia","Africa and Red Sea","Caldera(s)","Eruption Observed","1820 CE",8.8,39.692,1619,"Rhyolite","Rift Zone / Continental Crust (>25 km)","1820","CE",1820
"92",221201,"Unnamed","Ethiopia","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",8.698,39.64,1413,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"93",221210,"Boset-Bericha","Ethiopia","Africa and Red Sea","Stratovolcano(es)","Evidence Credible","Unknown",8.558,39.475,2447,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"94",221220,"Bishoftu Volcanic Field","Ethiopia","Africa and Red Sea","Fissure vent(s)","Evidence Credible","Unknown",8.78,38.98,1850,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"95",221222,"Sodore","Ethiopia","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",8.43,39.35,1765,"Basalt / Picro-Basalt","Intraplate / Continental Crust (>25 km)","Unknown","Unknown",NA
"96",221230,"Gedamsa","Ethiopia","Africa and Red Sea","Caldera","Evidence Credible","Unknown",8.35,39.18,1984,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"97",221240,"Bora-Bericcio","Ethiopia","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",8.221,39.05,2267,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"98",221250,"Tullu Moje","Ethiopia","Africa and Red Sea","Pyroclastic cone","Eruption Observed","1900 CE",8.159,39.137,2343,"Rhyolite","Rift Zone / Continental Crust (>25 km)","1900","CE",1900
"99",221251,"Unnamed","Ethiopia","Africa and Red Sea","Fissure vent(s)","Evidence Credible","Unknown",8.013,39.062,1886,"Basalt / Picro-Basalt","Intraplate / Continental Crust (>25 km)","Unknown","Unknown",NA
"100",221252,"East Zway","Ethiopia","Africa and Red Sea","Fissure vent(s)","Evidence Credible","Unknown",7.874,38.902,1889,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"101",221260,"Butajiri-Silti Field","Ethiopia","Africa and Red Sea","Fissure vent(s)","Evidence Credible","Unknown",8.05,38.35,2281,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"102",221270,"Alutu","Ethiopia","Africa and Red Sea","Stratovolcano","Eruption Dated","50 BCE",7.77,38.78,2335,"Rhyolite","Rift Zone / Continental Crust (>25 km)","50","BCE",-50
"103",221280,"O'a Caldera","Ethiopia","Africa and Red Sea","Caldera","Evidence Credible","Unknown",7.47,38.58,2075,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"104",221290,"Corbetti Caldera","Ethiopia","Africa and Red Sea","Caldera","Evidence Credible","Unknown",7.18,38.43,2320,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"105",221291,"Bilate River Field","Ethiopia","Africa and Red Sea","Maar(s)","Unrest / Holocene","Unknown",7.07,38.1,1700,"No Data","Intraplate / Continental Crust (>25 km)","Unknown","Unknown",NA
"106",221292,"Tepi","Ethiopia","Africa and Red Sea","Shield","Unrest / Holocene","Unknown",7.42,35.43,2728,"Basalt / Picro-Basalt","Intraplate / Continental Crust (>25 km)","Unknown","Unknown",NA
"107",221293,"Hobicha Caldera","Ethiopia","Africa and Red Sea","Caldera","Evidence Uncertain","Unknown",6.78,37.83,1800,"Basalt / Picro-Basalt","Intraplate / Continental Crust (>25 km)","Unknown","Unknown",NA
"108",221300,"Chiracha","Ethiopia","Africa and Red Sea","Stratovolcano","Evidence Uncertain","Unknown",6.712,38.085,1636,"Rhyolite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"109",221310,"Tosa Sucha","Ethiopia","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",5.93,37.57,1650,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"110",221311,"Unnamed","Ethiopia","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",5.65,37.67,1200,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"111",221320,"Korath Range","Ethiopia","Africa and Red Sea","Tuff cone(s)","Evidence Uncertain","Unknown",5.1,35.88,912,"Trachybasalt / Tephrite Basanite","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"112",221330,"Mega Basalt Field","Ethiopia-Kenya","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",4.08,37.42,1067,"Basalt / Picro-Basalt","Rift Zone / Intermediate Crust (15-25 km)","Unknown","Unknown",NA
"113",222001,"North Island","Kenya","Africa and Red Sea","Tuff cone(s)","Evidence Credible","Unknown",4.059,36.049,490,"Trachyandesite / Basaltic Trachyandesite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"114",222010,"Central Island","Kenya","Africa and Red Sea","Tuff cone(s)","Evidence Credible","Unknown",3.496,36.04,518,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"115",222020,"South Island","Kenya","Africa and Red Sea","Stratovolcano","Eruption Observed","1888 CE",2.63,36.6,800,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","1888","CE",1888
"116",222021,"Marsabit","Kenya","Africa and Red Sea","Shield","Evidence Uncertain","Unknown",2.32,37.97,1707,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"117",222030,"Barrier, The","Kenya","Africa and Red Sea","Shield","Eruption Observed","1921 CE",2.32,36.57,1032,"Trachyte / Trachydacite","Rift Zone / Continental Crust (>25 km)","1921","CE",1921
"118",222040,"Namarunu","Kenya","Africa and Red Sea","Shield","Eruption Dated","6550 BCE",1.98,36.43,817,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","6550","BCE",-6550
"119",222050,"Segererua Plateau","Kenya","Africa and Red Sea","Pyroclastic cone(s)","Evidence Credible","Unknown",1.57,37.9,699,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"120",222051,"Emuruangogolak","Kenya","Africa and Red Sea","Shield","Eruption Dated","1910 CE",1.5,36.33,1285,"Trachyte / Trachydacite","Rift Zone / Continental Crust (>25 km)","1910","CE",1910
"121",222052,"Silali","Kenya","Africa and Red Sea","Shield","Eruption Dated","5050 BCE",1.15,36.23,1528,"Trachyte / Trachydacite","Rift Zone / Continental Crust (>25 km)","5050","BCE",-5050
"122",222053,"Paka","Kenya","Africa and Red Sea","Shield","Eruption Dated","7550 BCE",0.92,36.18,1697,"Trachyte / Trachydacite","Rift Zone / Continental Crust (>25 km)","7550","BCE",-7550
"123",222054,"Korosi","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown",0.77,36.12,1446,"Trachyte / Trachydacite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"124",222055,"Ol Kokwe","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown",0.62,36.075,1130,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"125",222056,"Nyambeni Hills","Kenya","Africa and Red Sea","Shield","Evidence Credible","Unknown",0.23,37.87,750,"Basalt / Picro-Basalt","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
"126",222060,"Menengai","Kenya","Africa and Red Sea","Shield","Eruption Dated","6050 BCE",-0.2,36.07,2278,"Trachyte / Trachydacite","Rift Zone / Continental Crust (>25 km)","6050","BCE",-6050
"127",222070,"Homa Mountain","Kenya","Africa and Red Sea","Complex","Evidence Credible","Unknown",-0.38,34.5,1751,"Foidite","Rift Zone / Continental Crust (>25 km)","Unknown","Unknown",NA
